ano,sigla_uf,produto,area_colhida_ha,producao_total,produtividade_media,valor_total_producao
2014,PB,Castanha de caju,4125,991.0,248.37500000000003,1736.0
2014,PE,Caju,,,,
2014,PE,Castanha de caju,3571,2745.0,555.74418604651146,3430.0
2014,PI,Caju,,,,
2014,PI,Castanha de caju,92338,12347.0,182.65934065934064,21475.0
2014,PR,Caju,,,,
2014,PR,Castanha de caju,,,,
2014,RJ,Caju,,,,
2014,RJ,Castanha de caju,,,,
2014,RN,Caju,,,,
2014,RN,Castanha de caju,107020,27405.0,292.01960784313729,36195.0
2014,RO,Caju,,,,
2014,RO,Castanha de caju,,,,
2014,RR,Caju,,,,
2014,RR,Castanha de caju,,,,
2014,RS,Caju,,,,
2014,RS,Castanha de caju,,,,
2014,SC,Caju,,,,
2014,SC,Castanha de caju,,,,
2014,SE,Caju,,,,
2014,SE,Castanha de caju,,,,
2014,SP,Caju,,,,
2014,SP,Castanha de caju,,,,
2014,TO,Caju,,,,
2014,TO,Castanha de caju,,,,
2013,AC,Caju,,,,
2013,AC,Castanha de caju,,,,
2013,AL,Caju,,,,
2013,AL,Castanha de caju,1169,665.0,458.52631578947364,903.0
2013,AM,Caju,,,,
2013,AM,Castanha de caju,,,,
2013,AP,Caju,,,,
2013,AP,Castanha de caju,,,,
2013,BA,Caju,,,,
2013,BA,Castanha de caju,22959,4269.0,216.62857142857143,4488.0
2013,CE,Caju,,,,
2013,CE,Castanha de caju,405458,53112.0,178.78362573099409,89479.0
2013,DF,Caju,,,,
2013,DF,Castanha de caju,,,,
2013,ES,Caju,,,,
2013,ES,Castanha de caju,,,,
2013,GO,Caju,,,,
2013,GO,Castanha de caju,,,,
2013,MA,Caju,,,,
2013,MA,Castanha de caju,16091,4980.0,333.01709401709388,4609.0
2013,MG,Caju,,,,
2013,MG,Castanha de caju,,,,
2013,MS,Caju,,,,
2013,MS,Castanha de caju,,,,
2013,MT,Caju,,,,
2013,MT,Castanha de caju,712,278.0,327.42857142857139,418.0
2013,PA,Caju,,,,
2013,PA,Castanha de caju,3064,1668.0,810.83333333333326,1734.0
2013,PB,Caju,,,,
2013,PB,Castanha de caju,4705,1025.0,234.56034482758611,1763.0
2013,PE,Caju,,,,
2013,PE,Castanha de caju,3230,2067.0,608.71428571428567,2879.0
2013,PI,Caju,,,,
